Ref,Val,Package,PosX,PosY,Rot,Side
"R63,""12K 1%"",""R_0805_2012Metric"",138.438500,-97.691500,180.000000,top"
"R64,""100R"",""R_0805_2012Metric"",207.458500,-90.941500,0.000000,top"
"R65,""178k"",""R_0805_2012Metric"",136.938500,-92.591500,-90.000000,top"
"R66,""33k"",""R_0805_2012Metric"",134.738500,-92.591500,-90.000000,top"
"R84,""10k"",""R_0805_2012Metric"",125.708500,-146.441500,180.000000,top"
"R85,""10k"",""R_0805_2012Metric"",106.958500,-146.391500,180.000000,top"
"R86,""330"",""R_0805_2012Metric"",113.058500,-143.241500,90.000000,top"
"R87,""330"",""R_0805_2012Metric"",131.758500,-143.291500,90.000000,top"
"R88,""10k"",""R_0805_2012Metric"",113.008500,-153.149000,-90.000000,top"
"R89,""10k"",""R_0805_2012Metric"",131.708500,-153.149000,-90.000000,top"
"R90,""10k"",""R_0805_2012Metric"",144.308500,-146.391500,180.000000,top"
"R91,""10k"",""R_0805_2012Metric"",162.908500,-146.391500,180.000000,top"
"R92,""330"",""R_0805_2012Metric"",150.358500,-143.304000,90.000000,top"
"R93,""330"",""R_0805_2012Metric"",168.958500,-143.291500,90.000000,top"
"R94,""10k"",""R_0805_2012Metric"",150.308500,-153.149000,-90.000000,top"
"R95,""10k"",""R_0805_2012Metric"",168.908500,-153.149000,-90.000000,top"
"R160,""154k"",""R_0805_2012Metric"",119.708500,-109.791500,-90.000000,top"
"R161,""36k"",""R_0805_2012Metric"",117.627250,-106.241500,-90.000000,top"
"R162,""510k"",""R_0805_2012Metric"",115.577250,-106.254000,-90.000000,top"
"R163,""10k"",""R_0805_2012Metric"",193.158500,-112.941500,0.000000,top"
"R164,""2,2k"",""R_0805_2012Metric"",201.508500,-112.941500,0.000000,top"
"R165,""34,8k"",""R_0805_2012Metric"",128.758500,-104.291500,180.000000,top"
"R166,""47k"",""R_0805_2012Metric"",125.008500,-108.491500,0.000000,top"
"R169,""47k"",""R_0805_2012Metric"",157.308500,-119.541500,0.000000,top"
"R170,""47k"",""R_0805_2012Metric"",143.088500,-92.091500,180.000000,top"
"R171,""47k"",""R_0805_2012Metric"",157.508500,-106.541500,0.000000,top"
"R172,""47k"",""R_0805_2012Metric"",138.658500,-106.691500,180.000000,top"
"R173,""34,8k"",""R_0805_2012Metric"",134.908500,-110.991500,0.000000,top"
