Ref,Val,Package,PosX,PosY,Rot,Side
"R98,""100k"",""R_0805_2012Metric"",273.000000,-267.000000,-0.000000,bottom"
"R99,""100k"",""R_0805_2012Metric"",285.000000,-237.000000,-0.000000,bottom"
"R100,""100k"",""R_0805_2012Metric"",260.000000,-234.000000,-0.000000,bottom"
"R101,""100k"",""R_0805_2012Metric"",264.000000,-237.000000,-0.000000,bottom"
"R102,""100k"",""R_0805_2012Metric"",289.000000,-243.000000,-0.000000,bottom"
"R103,""100k"",""R_0805_2012Metric"",274.000000,-224.000000,-0.000000,bottom"
"R104,""47k"",""R_0805_2012Metric"",232.000000,-241.000000,-0.000000,bottom"
"R105,""47k"",""R_0805_2012Metric"",245.000000,-195.000000,-0.000000,bottom"
"R106,""1.5-kΩ"",""R_0805_2012Metric"",334.000000,-250.000000,-0.000000,bottom"
"R107,""1.5-kΩ"",""R_0805_2012Metric"",299.000000,-287.000000,-0.000000,bottom"
"R108,""22"",""R_0805_2012Metric"",342.000000,-191.000000,-0.000000,bottom"
"R109,""22Ω"",""R_0805_2012Metric"",220.000000,-220.000000,-0.000000,bottom"
"R110,""R"",""R_0805_2012Metric"",235.000000,-207.000000,-0.000000,bottom"
"R111,""16"",""R_0805_2012Metric"",215.000000,-248.000000,-0.000000,bottom"
"R112,""16"",""R_0805_2012Metric"",207.000000,-220.000000,-0.000000,bottom"
"R113,""330"",""R_0805_2012Metric"",329.000000,-250.000000,-0.000000,bottom"
"R114,""330"",""R_0805_2012Metric"",309.000000,-263.000000,-0.000000,bottom"
"R115,""10K"",""R_0805_2012Metric"",337.000000,-191.000000,-0.000000,bottom"
"R116,""10K"",""R_0805_2012Metric"",311.000000,-243.000000,-0.000000,bottom"
"R117,""10K"",""R_0805_2012Metric"",302.000000,-262.000000,-0.000000,bottom"
"R118,""10K"",""R_0805_2012Metric"",203.000000,-240.000000,-0.000000,bottom"
"R119,""10K"",""R_0805_2012Metric"",203.000000,-243.000000,-0.000000,bottom"
"R120,""100k"",""R_0805_2012Metric"",274.000000,-221.000000,-0.000000,bottom"
"R121,""100k"",""R_0805_2012Metric"",270.000000,-233.000000,-0.000000,bottom"
"R122,""10k"",""R_0805_2012Metric"",262.000000,-224.000000,-0.000000,bottom"
"R123,""2.2K 1%"",""R_0805_2012Metric"",275.000000,-264.000000,-0.000000,bottom"
"R124,""2.2K 1%"",""R_0805_2012Metric"",270.000000,-218.000000,-0.000000,bottom"
"R125,""2.2K 1%"",""R_0805_2012Metric"",271.000000,-227.000000,-0.000000,bottom"
