"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"Q2,Q3","bc akármi","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","Package_TO_SOT_SMD:SOT-23","2","","60","","","","","","","0.8A Ic, 45V Vce, NPN Transistor, SOT-23","","","","","","","","","","","","","","","","",""
"R1","15K 1%","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Resistor_SMD:R_0805_2012Metric","1","","61","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","","","","","","","","","","","","","","","","","",""
"R2,R3,R4,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152","2.2K 1%","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Resistor_SMD:R_0805_2012Metric","35","","62","Farnell","","","","","Resistor 2.2K M1005 1% 63mW","","","","","","","","","","","","","","","","","",""
"R5,R6,R7","4.7k","~","Resistor_SMD:R_0805_2012Metric","3","","63","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R8,R15","1k","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Resistor_SMD:R_0805_2012Metric","2","","64","Farnell","9239235","RK73H1ETTP1001F","KOA EUROPE GMBH","125049511","Resistor 1K M1005 1% 63mW","","","","","","","","","","","","","","","","","",""
"R9","1k","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Resistor_SMD:R_0603_1608Metric","1","","65","Farnell","9239235","RK73H1ETTP1001F","KOA EUROPE GMBH","125049511","Resistor 1K M1005 1% 63mW","","","","","","","","","","","","","","","","","",""
"R10,R14,R18,R72,R73,R74,R75,R84,R85,R88,R89,R90,R91,R94,R95,R101,R102,R155,R156,R157,R158,R163,R174","10k","~","Resistor_SMD:R_0805_2012Metric","23","","66","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R11,R53","100","~","Resistor_SMD:R_0805_2012Metric","2","","67","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R12,R13","470R","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Resistor_SMD:R_0805_2012Metric","2","","68","Farnell","9239197","RK73G1ETQTP4700D         ","KOA EUROPE GMBH","120887981","Resistor 470R M1005 1% 63mW","","","","","","","","","","","","","","","","","",""
"R16,R17,R27,R28","2.2K 1%","~","Resistor_SMD:R_0805_2012Metric","4","","69","Farnell","9239278","RK73G1ETQTP2201D         ","KOA EUROPE GMBH","120889581","Resistor 2.2K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R19,R20,R21,R25","36K 1%","~","Resistor_SMD:R_0805_2012Metric","4","","70","Farnell","1458788","MCR01MZPF3602","Rohm","","Resistor 36K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R22,R52,R54,R63","12K 1%","~","Resistor_SMD:R_0805_2012Metric","4","","71","Farnell","9239367","MCR01MZPF1202","Rohm","","Resistor 12K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R23,R24,R29,R30,R31,R32","5.1K 1%","~","Resistor_SMD:R_0805_2012Metric","6","","72","Farnell","9239278","RK73G1ETQTP2201D         ","KOA EUROPE GMBH","120889581","Resistor 2.2K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R26","15K 1%","~","Resistor_SMD:R_0805_2012Metric","1","","73","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48","0.025Ω","~","Resistor_SMD:R_1206_3216Metric","16","","74","","","","","","","Resistor","","","","","","","","","","","","","","","","https://hu.farnell.com/vishay/wfma2512r0250fea/res-0r025-3w-2512-metal-plate/dp/3102734?srsltid=AfmBOoo6H5Un0cHiqeag9ovCQvXpnbJqYON7v56Iowkpb5I1FAlzBtap",""
"R49,R51,R61","10R","~","Resistor_SMD:R_0805_2012Metric","3","","75","Farnell","9238999","RC0402FR-0710RL","Yageo","URES00256","Resistor 10R M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R50,R69,R70,R71","1k","~","Resistor_SMD:R_0805_2012Metric","4","","76","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R55","105k","~","Resistor_SMD:R_0805_2012Metric","1","","77","Farnell","9239430","RK73G1ETQTP4702D  ","KOA EUROPE GMBH","120892781","Resistor 47K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R56,R60,R66","33k","~","Resistor_SMD:R_0805_2012Metric","3","","78","Farnell","9239375","MCR01MZPF1502","Rohm","120891581","Resistor 15K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R57,R86,R87,R92,R93,R113,R114","330","~","Resistor_SMD:R_0805_2012Metric","7","","79","","","","","","","Resistor","","","","","","","","","","","","","","","","",""
"R59","210k","~","Resistor_SMD:R_0805_2012Metric","1","","80","Farnell","9239430","RK73G1ETQTP4702D  ","KOA EUROPE GMBH","120892781","Resistor 47K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
"R65","178k","~","Resistor_SMD:R_0805_2012Metric","1","","81","Farnell","9239430","RK73G1ETQTP4702D  ","KOA EUROPE GMBH","120892781","Resistor 47K M1005 1% 63mW","Resistor","","","","","","","","","","","","","","","","",""
